"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Dasyatis parvonigra",54294,NA,NA,NA
"Dasyatis sabina",2770,NA,NA,NA
"Dasyatis sabina",2770,NA,NA,NA
"Dasyatis sabina",2770,NA,NA,NA
"Dasyatis sabina",2770,NA,NA,NA
"Dasyatis say",2771,NA,NA,NA
"Dasyatis say",2771,NA,NA,NA
"Dasyatis ushiei",18077,NA,NA,NA
"Dasyatis zugei",8518,NA,NA,NA
"Dasyatis zugei",8518,NA,NA,NA
"Dasyatis zugei",8518,NA,NA,NA
"Dasyatis zugei",8518,NA,NA,NA
"Himantura astra",54300,NA,NA,NA
"Himantura fai",12932,NA,NA,NA
"Himantura fai",12932,NA,NA,NA
"Himantura gerrardi",14733,NA,NA,NA
"Himantura gerrardi",14733,NA,NA,NA
"Himantura gerrardi",14733,NA,NA,NA
"Himantura jenkinsii",12934,NA,NA,NA
"Himantura jenkinsii",12934,NA,NA,NA
"Himantura leoparda",54298,NA,NA,NA
"Himantura polylepis",12019,NA,NA,NA
"Himantura uarnacoides",46967,NA,NA,NA
"Himantura uarnak",5796,NA,NA,NA
"Himantura undulata",12929,NA,NA,NA
"Himantura walga",14734,NA,NA,NA
"Himantura walga",14734,NA,NA,NA
"Himantura walga",14734,NA,NA,NA
"Neotrygon annotata",14659,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Neotrygon kuhlii",5631,NA,NA,NA
"Pastinachus sephen",8516,NA,NA,NA
"Pastinachus solocirostris",53432,NA,NA,NA
"Pteroplatytrygon violacea",2772,NA,NA,NA
"Pteroplatytrygon violacea",2772,NA,NA,NA
"Taeniura lymma",5658,NA,NA,NA
"Taeniura lymma",5658,NA,NA,NA
"Taeniurops meyeni",6804,NA,NA,NA
"Urogymnus asperrimus",5659,NA,NA,NA
"Dichistius capensis",6310,NA,NA,NA
"Dichistius capensis",6310,NA,NA,NA
"Dinoperca petersi",5811,NA,NA,NA
"Distichodus rostratus",2600,NA,NA,NA
"Distichodus rostratus",2600,NA,NA,NA
"Ichthyborus besse",5492,NA,NA,NA
"Megalodoras uranoscopus",20301,NA,NA,NA
"Megalodoras uranoscopus",20301,NA,NA,NA
"Oxydoras niger",12434,NA,NA,NA
"Oxydoras niger",12434,NA,NA,NA
"Pterodoras granulosus",12435,NA,NA,NA
"Pterodoras granulosus",12435,NA,NA,NA
"Pterodoras granulosus",12435,NA,NA,NA
"Trachydoras paraguayensis",39994,NA,NA,NA
"Trachydoras paraguayensis",39994,NA,NA,NA
"Drepane punctata",468,NA,NA,NA
"Etrumeus sadina",1648,NA,NA,1.73
"Etrumeus sadina",1648,NA,NA,1.7
"Etrumeus sadina",1648,NA,5,3
"Remora osteochir",3743,NA,NA,NA
"Echinorhinus brucus",657,NA,NA,NA
"Echinorhinus brucus",657,NA,NA,NA
"Echinorhinus brucus",657,NA,NA,NA
"Echinorhinus brucus",657,NA,NA,NA
"Echinorhinus cookei",658,NA,NA,NA
"Echinorhinus cookei",658,NA,NA,NA
"Elassoma boehlkei",6622,NA,NA,1
"Dormitator latifrons",4022,NA,NA,NA
"Dormitator latifrons",4022,NA,NA,NA
"Dormitator latifrons",4022,NA,NA,NA
"Gobiomorphus breviceps",17901,NA,3,1.5
"Gobiomorphus breviceps",17901,NA,4,2.5
"Hypseleotris galii",18054,NA,NA,NA
"Mogurnda adspersa",11037,NA,NA,NA
"Mogurnda adspersa",11037,NA,NA,NA
"Elops saurus",189,NA,NA,2
"Amphistichus argenteus",3818,NA,NA,2
"Amphistichus rhodoterus",3820,NA,NA,3
"Brachyistius frenatus",3821,1,NA,NA
"Cymatogaster aggregata",3822,0,NA,NA
"Cymatogaster aggregata",3822,NA,NA,1
"Embiotoca jacksoni",3824,NA,NA,1.5
"Embiotoca lateralis",3825,NA,NA,3
"Hyperprosopon argenteum",3827,NA,NA,1
"Hyperprosopon ellipticum",3828,NA,NA,3
"Phanerodon furcatus",3834,NA,NA,2
"Rhacochilus vacca",3836,NA,NA,2.5
"Erythrocles schlegelii",8002,2,NA,NA
"Erythrocles schlegelii",8002,2,NA,NA
"Plagiogeneion rubiginosum",12614,3,4,NA
"Anchoa hepsetus",1149,NA,1,NA
"Anchoa lucida",947,NA,NA,NA
"Anchoa mitchilli",561,NA,NA,NA
"Anchoa mitchilli",561,NA,NA,NA
"Anchoa mitchilli",561,0.21,0.25,NA
"Anchoa nasus",1179,NA,NA,NA
"Anchovia macrolepidota",560,NA,NA,NA
"Anchoviella lepidentostole",1869,NA,NA,NA
"Anchoviella lepidentostole",1869,NA,NA,NA
"Cetengraulis edentulus",563,NA,NA,NA
"Cetengraulis edentulus",563,NA,NA,NA
"Cetengraulis edentulus",563,NA,NA,NA
"Cetengraulis edentulus",563,NA,NA,NA
"Cetengraulis mysticetus",564,NA,NA,NA
